Title,Location,Price,Area,Number of Rooms,Interior
                        Apartment John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,450 per month            ",45 m²,2 rooms,Furnished
                        Apartment Boris Pasternakstraat                            ,"            1102 TC Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,650 per month            ",67 m²,3 rooms,Upholstered
                        Apartment Bronckhorststraat 6 1                            ,            1071 WR Amsterdam (Museumkwartier)        ,"                €3,000 per month            ",92 m²,3 rooms,Furnished
                        Apartment Swammerdamstraat                            ,            1091 RP Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",54 m²,2 rooms,Furnished
                        Apartment Orteliusstraat 274 3                            ,            1056 PM Amsterdam (Van Galenbuurt)        ,"                €2,000 per month            ",70 m²,3 rooms,Furnished
                        Apartment Saenredamstraat                            ,            1072 CJ Amsterdam (Oude Pijp)        ,"                €1,645 per month            ",45 m²,2 rooms,Upholstered
                        Apartment Van Baerlestraat 76 2                            ,            1071 BB Amsterdam (Museumkwartier)        ,"                €3,250 per month            ",85 m²,3 rooms,Upholstered or furnished
                        Apartment Simon van Gijnpad                            ,            1064 WR Amsterdam (Slotervaart Noord)        ,"                €1,700 per month            ",78 m²,3 rooms,Furnished
                        Apartment Westerlengte 149                            ,            1034 TB Amsterdam (Banne Buiksloot)        ,"                €1,650 per month            ",76 m²,4 rooms,Furnished
                        House Singel                            ,            1012 VC Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €6,250 per month            ",200 m²,7 rooms,Upholstered
                        Apartment Keizersgracht                            ,            1017 EC Amsterdam (Grachtengordel-Zuid)        ,"                €3,000 per month            ",84 m²,2 rooms,Upholstered or furnished
                        Apartment Bloemstraat 13 B                            ,            1016 KV Amsterdam (Jordaan)        ,"                €2,850 per month            ",78 m²,3 rooms,Furnished
                        House Lindenstraat 3                            ,            1015 KV Amsterdam (Jordaan)        ,"                €4,500 per month            ",144 m²,9 rooms,Upholstered or furnished
                        Apartment Albert Molhof                            ,            1031 JK Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,700 per month            ",35 m²,2 rooms,Furnished
                        Apartment Runstraat 12 2                            ,            1016 GK Amsterdam (Grachtengordel-West)        ,"                €2,650 per month            ",88 m²,4 rooms,Upholstered or furnished
                        Apartment Korte Koningsstraat 14 hs                            ,            1011 GA Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,050 per month            ",120 m²,2 rooms,Furnished
                        Apartment Papaverweg                            ,            1032 KH Amsterdam (Volewijck)        ,"                €1,395 per month            ",40 m²,2 rooms,Upholstered
                        Apartment Nieuwe Leliestraat 55 A                            ,            1015 SJ Amsterdam (Jordaan)        ,"                €1,950 per month            ",70 m²,2 rooms,Furnished
                        Apartment Pieter Oosterhuisstraat                            ,            1087 HT Amsterdam (IJburg Zuid)        ,"                €2,350 per month            ",112 m²,3 rooms,Upholstered
                        Apartment Legmeerstraat                            ,            1058 NA Amsterdam (Hoofddorppleinbuurt)        ,"                €2,100 per month            ",59 m²,2 rooms,Furnished
                        Apartment Schimmelstraat 7 C                            ,            1053 TA Amsterdam (Kinkerbuurt)        ,"                €1,925 per month            ",55 m²,2 rooms,Furnished
                        Apartment Anton Verheijstraat                            ,            1077 KT Amsterdam (Prinses Irenebuurt e.o.)        ,"                €3,100 per month            ",108 m²,3 rooms,Upholstered or furnished
                        House Nicolaas Ruychaverstraat 13                            ,            1067 NH Amsterdam (Geuzenveld)        ,"                €1,900 per month            ",97 m²,5 rooms,Upholstered
                        Apartment Gijsbrecht van Aemstelstraat 23 2                            ,            1091 TB Amsterdam (Weesperzijde)        ,"                €1,950 per month            ",65 m²,2 rooms,Furnished
                        Apartment Deurloostraat 47 H                            ,            1078 HT Amsterdam (Scheldebuurt)        ,"                €5,400 per month            ",168 m²,5 rooms,Furnished
                        Apartment Rietlandpark                            ,            1019 DV Amsterdam (Oostelijk Havengebied)        ,"                €2,000 per month            ",90 m²,3 rooms,Upholstered
                        Apartment Dijkmanshuizenstraat                            ,            1024 XR Amsterdam (Waterlandpleinbuurt)        ,"                €1,850 per month            ",72 m²,3 rooms,Furnished
                        Apartment Burgemeester Fockstraat                            ,            1063 CZ Amsterdam (Slotermeer-Noordoost)        ,"                €2,400 per month            ",74 m²,4 rooms,Upholstered
                        Apartment Postjeskade 10 3                            ,            1057 DS Amsterdam (Hoofdweg e.o.)        ,"                €2,750 per month            ",106 m²,4 rooms,Furnished
                        Apartment Van Eeghenstraat 161 3                            ,            1071 GB Amsterdam (Museumkwartier)        ,"                €2,350 per month            ",68 m²,2 rooms,Furnished
                        Apartment Sanderijnstraat                            ,            1055 BM Amsterdam (Erasmuspark)        ,"                €1,850 per month            ",60 m²,2 rooms,Upholstered
                        Apartment De Lairessestraat                            ,            1071 PL Amsterdam (Museumkwartier)        ,"                €2,600 per month            ",80 m²,2 rooms,Furnished
                        Apartment Olympiaplein                            ,            1077 CR Amsterdam (Apollobuurt)        ,"                €2,700 per month            ",100 m²,3 rooms,Upholstered
                        Apartment Baarsjesweg                            ,            1058 AD Amsterdam (Westindische Buurt)        ,"                €2,900 per month            ",50 m²,2 rooms,Furnished
                        Apartment Kanaalstraat 14 2                            ,            1054 XH Amsterdam (Helmersbuurt)        ,"                €1,850 per month            ",50 m²,2 rooms,Furnished
                        Apartment Rooseveltlaan                            ,            1079 AB Amsterdam (Scheldebuurt)        ,"                €3,000 per month            ",143 m²,5 rooms,Upholstered
                        Apartment Tintorettostraat 17 hs                            ,            1077 RN Amsterdam (Apollobuurt)        ,"                €4,250 per month            ",145 m²,5 rooms,Upholstered
                        Apartment Julius Pergerstraat                            ,            1087 KN Amsterdam (IJburg Zuid)        ,"                €1,600 per month            ",84 m²,3 rooms,Furnished
                        Studio Ridderspoorweg                            ,            1032 LL Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,550 per month            ",40 m²,1 room,Furnished
                        Apartment Kleiburg 808                            ,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",70 m²,3 rooms,Furnished
                        Apartment Govert Flinckstraat 316 D                            ,            1073 CJ Amsterdam (Oude Pijp)        ,"                €3,500 per month            ",170 m²,4 rooms,Upholstered
                        House Madurastraat                            ,            1094 GE Amsterdam (Indische Buurt West)        ,"                €2,595 per month            ",95 m²,3 rooms,Upholstered
                        Apartment John Blankensteinstraat                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,500 per month            ",50 m²,2 rooms,Furnished
                        Apartment Tweede Jacob van Campenstraat 94 HS-L                            ,            1073 XW Amsterdam (Oude Pijp)        ,"                €1,750 per month            ",42 m²,2 rooms,Furnished
                        Apartment Eerste Helmersstraat 121 1                            ,            1054 DN Amsterdam (Helmersbuurt)        ,"                €2,250 per month            ",80 m²,2 rooms,Furnished
                        Apartment Marco Polostraat                            ,            1057 WR Amsterdam (Hoofdweg e.o.)        ,"                €1,850 per month            ",55 m²,2 rooms,Furnished
                        Apartment Rustenburgerstraat 145                            ,            1073 EX Amsterdam (Nieuwe Pijp)        ,"                €2,450 per month            ",87 m²,3 rooms,Upholstered
                        Apartment Herengracht 579 3                            ,            1017 CD Amsterdam (Grachtengordel-Zuid)        ,"                €3,950 per month            ",110 m²,3 rooms,Upholstered or furnished
                        Apartment Olympiaplein                            ,            1077 CS Amsterdam (Apollobuurt)        ,"                €2,575 per month            ",110 m²,3 rooms,Upholstered
                        Apartment Da Costakade                            ,            1053 XB Amsterdam (Da Costabuurt)        ,"                €6,500 per month            ",149 m²,6 rooms,Furnished
                        Apartment Kuipersstraat 164 hs                            ,            1073 EV Amsterdam (Nieuwe Pijp)        ,"                €2,100 per month            ",60 m²,3 rooms,Furnished
                        Apartment IJburglaan                            ,            1087 CE Amsterdam (IJburg West)        ,"                €2,800 per month            ",110 m²,2 rooms,Furnished
                        Apartment Diezestraat                            ,            1078 JR Amsterdam (Scheldebuurt)        ,"                €3,750 per month            ",161 m²,5 rooms,Upholstered
                        Apartment Middenweg                            ,            1098 AH Amsterdam (Middenmeer)        ,"                €1,895 per month            ",78 m²,3 rooms,Upholstered
                        House Brouwersgracht                            ,            1013 GX Amsterdam (Grachtengordel-West)        ,"                €1,700 per month            ",50 m²,2 rooms,Furnished
                        Apartment Amstelkade 180 3                            ,            1078 BA Amsterdam (Scheldebuurt)        ,"                €1,350 per month            ",29 m²,2 rooms,Furnished
                        Apartment Koningslaan 24 II                            ,            1075 AD Amsterdam (Willemspark)        ,"                €3,950 per month            ",83 m²,3 rooms,Upholstered
                        Apartment Van Boshuizenstraat                            ,            1082 AR Amsterdam (Buitenveldert-Oost)        ,"                €2,450 per month            ",102 m²,3 rooms,Furnished
                        Apartment Eerste Nassaustraat                            ,            1052 BH Amsterdam (Staatsliedenbuurt)        ,"                €2,950 per month            ",100 m²,3 rooms,Furnished
                        Apartment Osdorper Ban                            ,            1069 GA Amsterdam (Osdorp-Midden)        ,"                €2,195 per month            ",95 m²,3 rooms,Furnished
                        House Wognumerstraat                            ,            1023 CK Amsterdam (Tuindorp Nieuwendam)        ,"                €1,650 per month            ",50 m²,3 rooms,Furnished
                        Apartment Leidsegracht                            ,            1016 CR Amsterdam (Jordaan)        ,"                €2,950 per month            ",106 m²,3 rooms,Furnished
                        Apartment Borssenburgplein                            ,            1078 WB Amsterdam (IJselbuurt)        ,"                €2,500 per month            ",85 m²,3 rooms,Furnished
                        Apartment Planciusstraat                            ,            1013 MD Amsterdam (Haarlemmerbuurt)        ,"                €3,250 per month            ",157 m²,3 rooms,Furnished
                        Apartment Singel 94 B                            ,            1015 AD Amsterdam (Grachtengordel-West)        ,"                €4,250 per month            ",135 m²,3 rooms,Furnished
                        Apartment Damstraat 1 E                            ,            1012 JL Amsterdam (Burgwallen-Oude Zijde)        ,"                €4,000 per month            ",100 m²,3 rooms,Furnished
                        Apartment Kanteel 25                            ,            1083 DA Amsterdam (Buitenveldert-Oost)        ,"                €1,950 per month            ",99 m²,3 rooms,Furnished
                        Apartment Nieuwe Keizersgracht 63 A                            ,            1018 VD Amsterdam (Weesperbuurt/Plantage)        ,"                €3,500 per month            ",140 m²,5 rooms,Furnished
                        Apartment Borssenburgplein 69                            ,            1078 WB Amsterdam (IJselbuurt)        ,"                €2,475 per month            ",88 m²,3 rooms,Upholstered or furnished
                        Apartment Boterdiepstraat 41 II+III                            ,            1079 SV Amsterdam (Rijnbuurt)        ,"                €2,300 per month            ",73 m²,3 rooms,Upholstered
                        Apartment Koningslaan 24 C                            ,            1075 AD Amsterdam (Willemspark)        ,"                €3,950 per month            ",83 m²,3 rooms,Upholstered
                        Apartment Willem Frederik Hermansstraat                            ,            1011 DG Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,000 per month            ",90 m²,3 rooms,Furnished
                        Apartment Maasstraat                            ,            1078 HM Amsterdam (Scheldebuurt)        ,"                €2,250 per month            ",100 m²,3 rooms,Upholstered
                        Apartment Koninginneweg                            ,            1075 CT Amsterdam (Willemspark)        ,"                €4,000 per month            ",147 m²,4 rooms,Furnished
                        Apartment Celebesstraat                            ,            1094 GB Amsterdam (Indische Buurt West)        ,"                €2,150 per month            ",75 m²,3 rooms,Upholstered
                        Apartment Panamalaan                            ,            1019 AZ Amsterdam (Oostelijk Havengebied)        ,"                €2,000 per month            ",85 m²,3 rooms,Furnished
                        Apartment Borneostraat                            ,            1094 CJ Amsterdam (Indische Buurt West)        ,"                €2,600 per month            ",142 m²,4 rooms,Upholstered
                        Apartment Tweede Jan Steenstraat 18 hs                            ,            1073 VN Amsterdam (Oude Pijp)        ,"                €2,550 per month            ",100 m²,3 rooms,Furnished
                        Apartment Willem de Zwijgerlaan                            ,            1055 PV Amsterdam (Landlust)        ,"                €2,675 per month            ",107 m²,4 rooms,Furnished
                        Apartment Uiterwaardenstraat                            ,            1079 CM Amsterdam (Scheldebuurt)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished
                        Apartment Erik de Roodestraat                            ,            1056 AK Amsterdam (De Kolenkit)        ,"                €3,600 per month            ",100 m²,4 rooms,Furnished
                        Apartment Sarphatistraat                            ,            1018 GK Amsterdam (Weesperbuurt/Plantage)        ,"                €4,950 per month            ",142 m²,5 rooms,Furnished
                        Apartment Rozengracht                            ,            1016 SZ Amsterdam (Jordaan)        ,"                €2,500 per month            ",80 m²,2 rooms,Furnished
                        Apartment Eerste Constantijn Huygensstraat 32 C                            ,            1054 BR Amsterdam (Helmersbuurt)        ,"                €5,500 per month            ",200 m²,4 rooms,Furnished
                        Apartment Kerkstraat 132 B                            ,            1017 GP Amsterdam (Grachtengordel-Zuid)        ,"                €2,350 per month            ",70 m²,2 rooms,Upholstered
                        Apartment Singel                            ,            1016 AC Amsterdam (Grachtengordel-West)        ,"                €3,450 per month            ",105 m²,4 rooms,Furnished
                        Apartment Prins Hendrikkade                            ,            1012 TK Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,250 per month            ",75 m²,2 rooms,Furnished
                        Apartment Herengracht 132 C                            ,            1015 BV Amsterdam (Grachtengordel-West)        ,"                €10,500 per month            ",190 m²,4 rooms,Upholstered or furnished
                        Apartment Gravenstraat                            ,            1012 NL Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,850 per month            ",70 m²,2 rooms,Upholstered
                        Apartment Keizersgracht 114                            ,            1015 CV Amsterdam (Grachtengordel-West)        ,"                €3,000 per month            ",80 m²,4 rooms,Furnished
                        Apartment Johannes Verhulststraat 224 H                            ,            1075 HG Amsterdam (Willemspark)        ,"                €4,000 per month            ",140 m²,5 rooms,Upholstered
                        Apartment Beethovenstraat                            ,            1077 JP Amsterdam (Apollobuurt)        ,"                €3,800 per month            ",134 m²,3 rooms,Furnished
                        Apartment Duke Ellingtonstraat                            ,            1066 GE Amsterdam (Sloter-/Riekerpolder)        ,"                €2,150 per month            ",94 m²,1 room,Furnished
                        House Prinsengracht 516                            ,            1017 KJ Amsterdam (De Weteringschans)        ,"                €13,500 per month            ",536 m²,5 rooms,Upholstered
                        Apartment Reinaert de Vosstraat                            ,            1055 CL Amsterdam (Landlust)        ,"                €2,200 per month            ",75 m²,2 rooms,Furnished
                        Apartment Gerrit van der Veenstraat 46 I                            ,            1077 EE Amsterdam (Apollobuurt)        ,"                €3,475 per month            ",149 m²,4 rooms,Upholstered
                        Apartment Herengracht                            ,            1015 BT Amsterdam (Grachtengordel-West)        ,"                €2,150 per month            ",130 m²,3 rooms,Furnished
                        Apartment Tweede Oosterparkstraat 184 H                            ,            1092 BT Amsterdam (Oosterparkbuurt)        ,"                €2,100 per month            ",84 m²,3 rooms,Upholstered
                        Apartment Roerstraat                            ,            1078 LL Amsterdam (Scheldebuurt)        ,"                €2,300 per month            ",75 m²,3 rooms,Furnished
                        Apartment Geschutswerf                            ,            1018 AW Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,700 per month            ",170 m²,4 rooms,Furnished
                        Apartment IJburglaan                            ,            1087 EN Amsterdam (IJburg West)        ,"                €2,700 per month            ",96 m²,3 rooms,Furnished
                        Apartment Bellamydwarsstraat 4 4                            ,            1053 BD Amsterdam (Kinkerbuurt)        ,"                €2,000 per month            ",50 m²,2 rooms,Furnished
                        Apartment Veembroederhof 197                            ,            1019 HD Amsterdam (Oostelijk Havengebied)        ,"                €2,500 per month            ",110 m²,4 rooms,Furnished
                        Apartment Oostenburgervoorstraat 47                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,250 per month            ",140 m²,4 rooms,Furnished
                        Apartment Noorderstraat                            ,            1017 TR Amsterdam (De Weteringschans)        ,"                €2,950 per month            ",90 m²,3 rooms,Furnished
                        Apartment Orteliusstraat 221 3                            ,            1056 NR Amsterdam (Van Galenbuurt)        ,"                €1,850 per month            ",60 m²,2 rooms,Furnished
                        Apartment Rietlandpark                            ,            1019 DR Amsterdam (Oostelijk Havengebied)        ,"                €2,495 per month            ",120 m²,3 rooms,Furnished
                        House Prinsengracht                            ,            1016 JA Amsterdam (Jordaan)        ,"                €3,950 per month            ",181 m²,6 rooms,Upholstered
                        House Simon Stevinstraat 33 hs                            ,            1097 BX Amsterdam (Frankendael)        ,"                €3,250 per month            ",138 m²,5 rooms,Upholstered
                        Apartment Westlandgracht                            ,            1059 TR Amsterdam (Hoofddorppleinbuurt)        ,"                €1,995 per month            ",90 m²,3 rooms,Shell
                        Apartment Tweede Tuindwarsstraat 6 II                            ,            1015 RZ Amsterdam (Jordaan)        ,"                €2,500 per month            ",76 m²,4 rooms,Furnished
                        Apartment Jan Luijkenstraat                            ,            1071 CS Amsterdam (Museumkwartier)        ,"                €5,000 per month            ",236 m²,4 rooms,Furnished
                        Apartment Van Baerlestraat 72 D                            ,            1071 BA Amsterdam (Museumkwartier)        ,"                €3,500 per month            ",150 m²,3 rooms,Upholstered
                        Apartment Daniël Stalpertstraat                            ,            1072 XB Amsterdam (Oude Pijp)        ,"                €2,150 per month            ",80 m²,3 rooms,Furnished
                        Apartment Keizersgracht 734 C                            ,            1017 EW Amsterdam (Grachtengordel-Zuid)        ,"                €3,500 per month            ",136 m²,3 rooms,Upholstered
                        Apartment Banstraat 28 3                            ,            1071 KA Amsterdam (Museumkwartier)        ,"                €4,850 per month            ",151 m²,5 rooms,Furnished
                        Apartment Vossiusstraat 39 hs                            ,            1071 AH Amsterdam (Museumkwartier)        ,"                €7,000 per month            ",260 m²,7 rooms,Upholstered
                        Apartment Herengracht                            ,            1017 CD Amsterdam (Grachtengordel-Zuid)        ,"                €5,400 per month            ",125 m²,3 rooms,Furnished
                        House Jaagpad 31                            ,            1059 BP Amsterdam (Hoofddorppleinbuurt)        ,"                €5,000 per month            ",200 m²,6 rooms,Furnished
                        House Valeriusplein                            ,            1075 BJ Amsterdam (Willemspark)        ,"                €8,000 per month            ",366 m²,6 rooms,Upholstered
                        Apartment Da Costakade 31 hs                            ,            1052 SG Amsterdam (Da Costabuurt)        ,"                €2,500 per month            ",81 m²,3 rooms,Furnished
                        Apartment Nicolaas Witsenkade                            ,            1017 ZS Amsterdam (De Weteringschans)        ,"                €7,950 per month            ",200 m²,6 rooms,Furnished
                        Apartment Minervaplein                            ,            1077 TR Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",111 m²,3 rooms,Furnished
                        Apartment Amstelveenseweg 224 3                            ,            1075 XT Amsterdam (Schinkelbuurt)        ,"                €2,950 per month            ",115 m²,3 rooms,Furnished
                        House Bongerdkade                            ,            1036 LZ Amsterdam (Tuindorp Oostzaan)        ,"                €3,100 per month            ",150 m²,5 rooms,Furnished
                        Apartment Bosboom Toussaintstraat                            ,            1054 AT Amsterdam (Helmersbuurt)        ,"                €4,250 per month            ",155 m²,5 rooms,Furnished
                        Apartment De Boelelaan                            ,            1082 RD Amsterdam (Buitenveldert-West)        ,"                €2,350 per month            ",85 m²,3 rooms,Furnished
                        Apartment Veerstraat 51 4                            ,            1075 SN Amsterdam (Schinkelbuurt)        ,"                €2,350 per month            ",70 m²,2 rooms,Furnished
                        Apartment Albatrospad 142                            ,            1021 TR Amsterdam (IJplein/Vogelbuurt)        ,"                €3,500 per month            ",130 m²,3 rooms,Furnished
                        Apartment Keizersgracht                            ,            1017 EM Amsterdam (Grachtengordel-Zuid)        ,"                €10,750 per month            ",320 m²,7 rooms,Furnished
                        House Sarphatipark 102 HS                            ,            1073 EC Amsterdam (Nieuwe Pijp)        ,"                €4,500 per month            ",160 m²,4 rooms,Furnished
                        Apartment Singel 91 E                            ,            1012 VG Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,850 per month            ",110 m²,2 rooms,Furnished
                        Apartment Valeriusstraat 24 hs                            ,            1071 MJ Amsterdam (Museumkwartier)        ,"                €4,750 per month            ",148 m²,5 rooms,Upholstered
                        Apartment Kerkstraat                            ,            1017 HW Amsterdam (Grachtengordel-Zuid)        ,"                €5,000 per month            ",120 m²,3 rooms,Furnished
                        Apartment Valkenburgerstraat 134 E                            ,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,150 per month            ",95 m²,3 rooms,Furnished
                        Apartment IJselstraat 87 H                            ,            1078 CG Amsterdam (IJselbuurt)        ,"                €1,875 per month            ",50 m²,3 rooms,Upholstered
                        Apartment Eerste Schinkelstraat 23 H                            ,            1075 TV Amsterdam (Schinkelbuurt)        ,"                €3,950 per month            ",150 m²,4 rooms,Upholstered
                        House Van Breestraat 139 hs                            ,            1071 ZL Amsterdam (Museumkwartier)        ,"                €4,950 per month            ",140 m²,5 rooms,Upholstered
                        Apartment Spuistraat 257 D                            ,            1012 VR Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,750 per month            ",60 m²,4 rooms,Upholstered
                        Apartment Wagenstraat                            ,            1017 CZ Amsterdam (Grachtengordel-Zuid)        ,"                €3,100 per month            ",90 m²,3 rooms,Upholstered
                        House Smalschipstraat 5                            ,            1086 VM Amsterdam (IJburg West)        ,"                €2,995 per month            ",143 m²,5 rooms,Furnished
                        Apartment De Lairessestraat 172 B                            ,            1075 HM Amsterdam (Willemspark)        ,"                €2,950 per month            ",84 m²,3 rooms,Furnished
                        Apartment Laan der Hesperiden 16 H                            ,            1076 DK Amsterdam (Stadionbuurt)        ,"                €3,500 per month            ",127 m²,3 rooms,Upholstered
                        Apartment Plantage Middenlaan                            ,            1018 DA Amsterdam (Weesperbuurt/Plantage)        ,"                €3,250 per month            ",140 m²,4 rooms,Upholstered
                        House Oosterpark 62 HS                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €8,500 per month            ",221 m²,9 rooms,Furnished
                        Apartment Oosterpark 62 2en3                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €5,500 per month            ",165 m²,6 rooms,Furnished
                        Apartment Oosterpark 62 I                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €3,000 per month            ",85 m²,3 rooms,Furnished
                        Apartment Oosterpark 62 II                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €3,000 per month            ",85 m²,3 rooms,Furnished
                        Apartment Oosterpark 62 III                            ,            1092 AR Amsterdam (Oosterparkbuurt)        ,"                €2,750 per month            ",80 m²,3 rooms,Furnished
                        Apartment Stadionweg 140 I                            ,            1077 SX Amsterdam (Apollobuurt)        ,"                €3,000 per month            ",111 m²,4 rooms,Upholstered
                        Apartment Kleiburg                            ,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €2,095 per month            ",132 m²,4 rooms,Furnished
                        Apartment Oudeschans 18 III                            ,            1011 LA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,500 per month            ",100 m²,3 rooms,Furnished
                        Apartment Groenburgwal 14 IV                            ,            1011 HV Amsterdam (Nieuwmarkt/Lastage)        ,"                €4,400 per month            ",189 m²,3 rooms,Furnished
                        House Troelstralaan                            ,            1067 MX Amsterdam (Geuzenveld)        ,"                €2,600 per month            ",110 m²,4 rooms,Furnished
                        Apartment Leonardostraat 6 I                            ,            1077 EV Amsterdam (Apollobuurt)        ,"                €4,500 per month            ",185 m²,6 rooms,Upholstered
                        Apartment Wethouder Frankeweg                            ,            1098 KV Amsterdam (Middenmeer)        ,"                €3,250 per month            ",150 m²,5 rooms,Upholstered or furnished
                        Apartment Dam                            ,            1012 JS Amsterdam (Burgwallen-Oude Zijde)        ,"                €5,500 per month            ",125 m²,3 rooms,Upholstered or furnished
                        Apartment Linnaeusparkweg 82 I                            ,            1098 EH Amsterdam (Middenmeer)        ,"                €2,900 per month            ",123 m²,4 rooms,Upholstered
                        Apartment Koningin Wilhelminaplein                            ,            1062 KS Amsterdam (Westlandgracht)        ,"                €2,250 per month            ",90 m²,3 rooms,Furnished
                        House Fred Petterbaan                            ,            1019 JT Amsterdam (Oostelijk Havengebied)        ,"                €3,950 per month            ",175 m²,5 rooms,Furnished
                        Apartment Tweede Hugo de Grootstraat                            ,            1052 LC Amsterdam (Frederik Hendrikbuurt)        ,"                €1,875 per month            ",53 m²,2 rooms,Upholstered
                        Apartment Van Eeghenstraat 103 2                            ,            1071 EZ Amsterdam (Museumkwartier)        ,"                €5,000 per month            ",204 m²,6 rooms,Upholstered
                        Apartment Nieuwe Prinsengracht                            ,            1018 VT Amsterdam (Weesperbuurt/Plantage)        ,"                €2,300 per month            ",75 m²,2 rooms,Furnished
                        Apartment Evertsweertplantsoen 22                            ,            1069 RL Amsterdam (Osdorp-Midden)        ,"                €1,995 per month            ",60 m²,2 rooms,Upholstered or furnished
                        Apartment Prinsengracht                            ,            1016 HP Amsterdam (Grachtengordel-West)        ,"                €5,500 per month            ",177 m²,4 rooms,Upholstered
                        Apartment Oostenburgervoorstraat 47 G                            ,            1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,250 per month            ",140 m²,4 rooms,Furnished
                        House Buikslotermeerdijk                            ,            1025 WH Amsterdam (Elzenhagen)        ,"                €3,100 per month            ",128 m²,7 rooms,Furnished
                        Apartment Keizersstraat                            ,            1011 GD Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,500 per month            ",100 m²,3 rooms,Furnished
                        Apartment Huidekoperstraat                            ,            1017 ZM Amsterdam (De Weteringschans)        ,"                €2,100 per month            ",75 m²,2 rooms,Furnished
                        Apartment Singel                            ,            1015 AG Amsterdam (Grachtengordel-West)        ,"                €4,000 per month            ",108 m²,3 rooms,Furnished
                        Apartment Brouwersgracht 180 A                            ,            1013 HC Amsterdam (Haarlemmerbuurt)        ,"                €7,000 per month            ",200 m²,4 rooms,Furnished
                        Apartment Valkenburgerstraat                            ,            1011 MG Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,950 per month            ",162 m²,4 rooms,Furnished
                        Apartment Argonautenstraat                            ,            1076 KV Amsterdam (Stadionbuurt)        ,"                €3,100 per month            ",120 m²,4 rooms,Upholstered
                        Apartment Willemsparkweg                            ,            1071 GN Amsterdam (Museumkwartier)        ,"                €5,400 per month            ",185 m²,6 rooms,Upholstered
                        Apartment Minervalaan                            ,            1077 NL Amsterdam (Apollobuurt)        ,"                €4,950 per month            ",164 m²,6 rooms,Upholstered
                        House Moestuinlaan                            ,            1036 KD Amsterdam (Tuindorp Oostzaan)        ,"                €4,500 per month            ",200 m²,10 rooms,Upholstered or furnished
                        Apartment Van Breestraat 90 II                            ,            1071 ZS Amsterdam (Museumkwartier)        ,"                €4,500 per month            ",122 m²,7 rooms,Upholstered
                        Apartment Esplanade de Meer                            ,            1098 WN Amsterdam (Middenmeer)        ,"                €2,500 per month            ",96 m²,3 rooms,Furnished
                        Apartment Raamgracht                            ,            1011 KH Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,700 per month            ",90 m²,2 rooms,Furnished
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,694 per month            ",89 m²,2 rooms,Upholstered
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,568 per month            ",64 m²,2 rooms,Upholstered
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,265 per month            ",63 m²,2 rooms,Upholstered
                        Apartment NDSM-kade                            ,            1033 PG Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,487 per month            ",71 m²,2 rooms,Upholstered
                        Apartment Plantage Middenlaan                            ,            1018 DE Amsterdam (Weesperbuurt/Plantage)        ,"                €3,150 per month            ",147 m²,4 rooms,Upholstered
                        Apartment Lijnbaansgracht                            ,            1016 VX Amsterdam (Jordaan)        ,"                €7,500 per month            ",178 m²,2 rooms,Upholstered or furnished
                        House Adelaarsweg 7                            ,            1021 BM Amsterdam (IJplein/Vogelbuurt)        ,"                €3,500 per month            ",180 m²,6 rooms,Furnished
